Model,Accuracy,Precision,Recall,F1,ROC_AUC,NonPotable_Recall,Selection_Metric
Support Vector Machine,0.666793893129771,0.5733990147783251,0.5694716242661448,0.5714285714285714,0.7031119501137675,0.7290362953692116,0.5714285714285714
XGBoost,0.6645038167938931,0.6098310291858678,0.388454011741683,0.474596533173939,0.6694455398014642,0.8410513141426783,0.474596533173939
Random Forest,0.6744274809160306,0.647985989492119,0.36203522504892366,0.4645323289391086,0.6951411867574193,0.8742177722152691,0.4645323289391086
K-Nearest Neighbors,0.6408396946564886,0.5831622176591376,0.27788649706457924,0.3764082173624917,0.654144796945301,0.8729662077596996,0.3764082173624917
Decision Tree,0.6255725190839695,0.5401174168297456,0.2700587084148728,0.36007827788649704,0.5930780648021376,0.8529411764705882,0.36007827788649704
Logistic Regression,0.6099236641221374,0.0,0.0,0.0,0.4756924629367924,1.0,0.0
