,precision,recall,f1-score,support
Non-Potable,0.6881188118811881,0.695,0.6915422885572139,400.0
Potable,0.5158730158730159,0.5078125,0.5118110236220472,256.0
accuracy,0.6219512195121951,0.6219512195121951,0.6219512195121951,0.6219512195121951
macro avg,0.601995913877102,0.6014062499999999,0.6016766560896305,656.0
weighted avg,0.6209009402682428,0.6219512195121951,0.6214032583386122,656.0
